society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score
DLF City Plots Phase 3,5.0,34083,13,13,3+,4.0,North,house,sector 24,,1467.0,,0,0,0,1,0,New Property,71,0,37
independent,15.0,33200,5,6,3+,3.0,North,house,sector 26,,4518.0,,0,1,1,1,0,old property,56,2,45
independent,8.25,30556,5,6,3+,3.0,West,house,sector 43,,2700.0,,0,1,1,1,0,old property,47,2,33
independent,2.0,14914,6,4,3,3.0,East,house,sector 2,,1341.0,,0,1,0,1,0,relatively new,22,2,53
DLF City Plots Phase 2,10.75,29861,9,9,3+,3.0,South-West,house,sector 25,,3600.0,,0,0,1,1,0,,43,1,45
independent,2.1,23333,7,7,3+,3.0,North-East,house,sector 38,,900.0,,0,1,0,1,0,relatively new,21,1,46
Unitech Espace,7.35,41762,4,4,3+,3.0,South,house,sector 50,,240.0,,0,0,1,1,0,old property,40,2,44
independent,4.45,15451,6,6,3,3.0,North,house,sector 49,,2880.0,,0,1,1,1,0,old property,118,0,40
independent,3.4,12938,9,9,3,3.0,West,house,sector 9,,2628.0,,1,0,0,0,0,old property,39,2,31
Emaar MGF Marbella,12.0,38095,5,6,3+,3.0,North-East,house,sector 66,,3150.0,,0,0,1,0,0,relatively new,121,2,43
independent,8.4,25926,4,4,3,2.0,,house,sector 48,,3240.0,,0,0,1,1,0,,11,2,49
Vipul Tatvam Villa,8.5,26235,4,4,2,,East,house,sector 48,,3240.0,,0,0,1,1,0,old property,80,1,37
independent,7.6,38760,9,9,3,4.0,East,house,sector 25,,215.0,,0,1,0,1,0,relatively new,59,2,45
Ansal Sushant Lok Plots,7.0,25926,5,5,3+,3.0,North-East,house,sector 43,,2700.0,,0,1,1,1,0,relatively new,30,2,42
Grover Homes Sec 4,4.75,9374,5,5,1,1.0,South-East,house,sector 4,,5067.0,,0,1,1,1,0,,26,2,34
independent,10.56,32593,5,5,3,3.0,,house,sector 50,,3240.0,,0,0,1,0,0,old property,11,1,49
independent,10.0,37037,5,6,3,3.0,North,house,sector 25,,2700.0,,0,0,1,0,0,,42,2,45
independent,9.0,28490,10,10,3,3.0,East,house,sector 25,,3159.0,,0,0,0,1,0,,42,2,45
independent,10.0,122222,4,4,3+,1.0,North-East,house,manesar,,900.0,,0,0,1,0,0,,10,1,0
independent,1.95,13542,2,2,2,2.0,,house,sector 7,,1440.0,,1,0,0,0,0,,0,1,24
independent,3.3,19097,4,4,2,3.0,South-East,house,sector 57,,1728.0,,0,0,0,0,0,old property,37,2,32
FLOOR WISE DESIGNER KOTHI,13.0,48148,12,16,3+,4.0,North-East,house,sector 25,,2700.0,,0,1,1,1,0,New Property,97,2,45
Suncity Essel Towers,6.0,22222,4,4,3+,3.0,East,house,sector 43,,2700.0,,0,1,0,0,0,,79,2,45
independent,9.0,33333,5,5,3,3.0,North,house,sector 25,,2700.0,,0,1,1,1,0,,31,1,45
independent,5.8,32222,5,5,3+,2.0,North,house,sector 26,,1800.0,,0,1,1,1,0,,43,1,45
independent,13.5,50000,16,16,3+,4.0,North-West,house,sector 43,,2700.0,,0,1,1,1,1,relatively new,30,1,42
nul,6.25,34722,5,5,3,2.0,East,house,sector 25,,1800.0,,0,0,1,1,0,old property,85,2,45
independent,5.75,29716,4,4,2,2.0,North,house,sector 43,,1935.0,,0,0,1,1,0,,23,1,42
independent,2.55,16378,3,3,2,2.0,South,house,sector 2,,1557.0,,1,0,0,0,0,,5,1,61
independent,5.6,17284,8,6,3+,,South-West,house,sector 2,,3240.0,,0,1,1,1,0,old property,0,1,61
independent,17.0,37777,5,8,3+,3.0,North-East,house,sector 45,,4500.0,,0,1,1,1,0,relatively new,115,0,39
Uppal Southend,3.75,25562,6,6,3,3.0,East,house,sector 49,,1467.0,,0,0,0,0,1,old property,32,1,40
Vipul Tatvam Villa,8.4,21000,4,5,3+,2.0,North,house,sector 48,,4000.0,,0,1,1,1,0,old property,32,2,37
independent,3.55,24500,4,4,3+,2.0,,house,sector 55,,1449.0,,1,0,0,0,0,,18,2,50
DLF New Town Heights,2.5,7058,4,4,3+,3.0,East,house,sector 91,,3400.0,,0,1,1,1,0,old property,64,2,50
DLF New Town Heights 2,2.5,7058,4,4,3+,3.0,East,house,sector 86,,3400.0,,0,1,1,1,0,old property,107,2,31
independent,2.1,23333,3,3,2,3.0,North,house,sector 40,,900.0,,0,0,0,0,1,old property,26,2,39
independent,4.5,20000,5,5,1,1.0,,house,sector 14,,,2500.0,1,0,0,0,0,relatively new,0,1,32
independent,6.5,35400,5,4,3+,3.0,South-East,house,sector 43,,215.0,,0,0,1,1,0,old property,33,2,42
independent,9.5,40135,12,12,3+,4.0,,house,sector 40,,2367.0,,0,0,0,0,0,New Property,35,2,39
independent,5.0,16244,4,4,2,2.0,East,house,sector 23,,3078.0,,1,0,0,0,0,,3,1,52
International City by Sobha Phase 1,5.5,21605,4,4,3+,2.0,North-East,house,sector 109,,270.0,,0,0,1,0,0,New Property,48,1,59
International City by SOBHA Phase 2,5.65,10463,4,4,3+,2.0,North-East,house,sector 109,,5400.0,,0,0,1,0,1,New Property,34,2,51
Emaar MGF Marbella,8.8,41615,4,4,3+,3.0,South-East,house,sector 66,,267.0,,0,0,1,1,0,relatively new,80,1,43
independent,3.25,14444,3,3,2,2.0,South-East,house,sector 4,,2250.0,,1,0,0,0,0,,15,1,34
independent,5.0,10101,3,3,2,1.0,North-East,house,sector 4,,4950.0,,1,0,0,0,0,,14,1,34
independent,10.45,38703,4,5,2,3.0,North,house,sector 50,,2700.0,,0,1,1,1,0,old property,108,2,44
independent,7.5,23148,5,5,3+,2.0,East,house,sector 82,,3240.0,,0,0,1,1,0,relatively new,92,2,5
independent,0.67,8557,3,2,1,1.0,South,house,sector 3a,,783.0,,0,0,0,1,1,old property,8,1,34
International City by Sobha Phase 1,5.75,16428,4,4,2,3.0,South-East,house,sector 109,,272.0,3500.0,0,0,1,0,0,relatively new,106,1,59
independent,3.2,13519,3,3,2,1.0,East,house,sector 9,,2367.0,,1,0,0,0,0,,24,2,25
independent,7.0,21605,4,4,3+,1.0,North-East,house,sector 82,,3240.0,,0,1,1,1,0,relatively new,35,2,5
independent,1.55,13889,2,2,2,1.0,East,house,sector 7,,120.0,,1,0,0,0,0,old property,30,2,24
independent,3.85,14650,4,4,3,3.0,North-West,house,sector 7,,2628.0,,1,0,0,0,0,,15,1,27
independent,2.0,13889,2,2,2,2.0,North-West,house,sector 7,,1440.0,,1,0,0,0,0,,14,1,34
independent,3.1,13778,3,3,2,2.0,North-West,house,sector 7,,2250.0,,1,0,0,0,0,,14,1,27
independent,2.25,15625,3,3,2,2.0,North-West,house,sector 7,,1440.0,,1,0,0,0,0,,15,1,27
independent,7.0,23333,4,4,2,3.0,North-East,house,sector 50,,2400.0,3000.0,0,0,1,0,0,,89,1,44
Emaar MGF Marbella,8.7,38667,4,5,2,3.0,East,house,sector 66,,2250.0,,0,1,1,0,0,New Property,115,1,43
International City by Sobha Phase 1,5.9,24280,4,5,2,2.0,East,house,sector 109,,2430.0,,0,0,1,0,0,relatively new,73,2,59
International City by Sobha Phase 1,5.85,26423,4,5,3+,2.0,East,house,sector 109,,2214.0,,0,0,1,0,0,relatively new,64,2,59
Bptp Visionnaire,5.35,8916,4,4,3+,3.0,North,house,sector 70a,,6000.0,,0,1,1,1,0,relatively new,123,2,29
independent,6.6,36667,6,7,3+,2.0,East,house,sector 25,,1800.0,,0,1,1,0,0,old property,83,2,45
independent,0.65,9028,3,2,1,1.0,East,house,sector 9,,720.0,,0,0,0,1,1,relatively new,7,1,34
independent,0.55,4074,3,3,2,2.0,South,house,sector 3a,,1350.0,,0,0,0,0,1,relatively new,7,1,34
independent,0.85,630,3,3,1,1.0,North,house,sector 3a,,1500.0,,0,0,0,0,1,relatively new,0,1,34
independent,0.58,86567,2,2,1,2.0,West,house,sector 3a,,67.0,,0,0,0,1,1,old property,3,1,34
independent,0.65,92857,1,1,1,1.0,South-East,house,sector 3a,,70.0,,0,0,0,0,1,old property,13,1,34
independent,0.61,100000,2,2,2,2.0,South-East,house,sector 3a,,61.0,,0,0,0,0,1,old property,9,1,34
independent,0.67,88157,3,3,2,2.0,South,house,sector 3a,,76.0,,0,0,0,0,1,relatively new,4,1,34
Ansal Sushant Lok Plots,5.8,29974,6,6,3,2.0,South-West,house,sector 43,,1935.0,,0,0,1,0,1,relatively new,35,2,42
International City by Sobha Phase 1,6.0,24691,4,5,3+,2.0,North,house,sector 109,,2430.0,,0,0,1,0,0,relatively new,73,2,59
independent,4.5,25000,16,16,3+,4.0,South,house,sector 11,,1800.0,,1,0,0,0,0,relatively new,13,2,32
independent,3.69,23699,4,4,2,2.0,East,house,sector 31,,1557.0,,0,1,1,1,0,old property,55,2,29
independent,2.5,25960,7,7,3,4.0,West,house,sector 43,,963.0,,0,0,0,0,1,relatively new,10,2,42
independent,5.5,28424,1,1,0,1.0,South-West,house,sector 43,,1935.0,,0,0,0,0,1,,5,1,42
Unitech Deerwood Chase,15.0,33333,4,4,2,2.0,West,house,sector 50,,4500.0,,0,0,1,0,0,old property,124,1,37
Unitech Aspen Greens,6.95,4490,3,3,1,2.0,North-East,house,sector 50,,240.0,1720.0,0,0,1,0,0,old property,124,1,38
Ansals Palam Vihar,5.7,14729,5,5,2,2.0,North-East,house,sector 2,,3870.0,4450.0,0,0,0,1,0,,69,0,61
International City by SOBHA Phase 2,11.3,25111,7,5,3+,4.0,East,house,sector 109,,4500.0,460.0,0,1,1,1,1,relatively new,35,1,51
Bptp Visionnaire,4.02,7309,4,4,3+,3.0,North-East,house,sector 70a,,5500.0,,0,1,1,1,0,relatively new,106,1,29
independent,1.0,74074,9,7,3+,3.0,North,house,sector 12,,135.0,,0,0,0,1,0,old property,5,1,61
independent,0.66,12000,3,1,1,3.0,East,house,sector 7,,550.0,,0,0,0,0,1,relatively new,12,1,27
HUDA Ashok Vihar Phase 1,0.7,10233,3,2,1,2.0,North-East,house,sector 3a,,684.0,,0,1,0,0,0,New Property,4,1,34
independent,1.45,26852,3,3,1,,,house,sector 24,,540.0,,1,0,0,0,0,,9,1,37
Ashok Vihar Phase 3 Gurgaon,0.95,8878,4,3,2,1.0,East,house,sector 5,,1070.0,,1,0,0,0,0,,5,1,43
independent,4.5,14286,9,9,3+,3.0,,house,sector 9a,,14.0,,0,1,0,1,1,relatively new,27,2,34
independent,7.0,28283,7,7,3+,3.0,South-West,house,sector 41,,2475.0,,0,1,1,1,0,old property,113,0,47
independent,4.0,26613,4,4,3+,2.0,,house,sector 56,,1503.0,,1,0,0,0,0,relatively new,17,2,50
independent,0.9,10000,6,4,3,3.0,North-East,house,sector 7,,900.0,,0,0,1,0,1,,22,2,24
independent,2.75,7666,7,7,3+,3.0,North-East,house,sector 24,,3000.0,,0,0,0,0,1,old property,0,2,42
independent,0.6,13333,3,3,0,3.0,,house,sector 9,,450.0,,1,0,0,0,0,,0,1,34
independent,0.5,11111,5,3,3,3.0,,house,sector 5,,450.0,,1,0,0,0,0,old property,0,1,43
independent,0.35,7778,2,2,1,2.0,East,house,sector 105,,,500.0,1,0,0,0,0,,0,1,25
DLF City Plots,4.0,40775,4,3,2,2.0,,house,sector 26,,981.0,,1,0,0,0,0,relatively new,0,2,44
Not Applicable,2.2,12222,4,3,2,1.0,South,house,sector 11,,1800.0,,0,1,0,1,0,,18,1,32
independent,1.1,6172,8,8,0,1.0,,house,manesar,,1782.0,,1,0,0,0,0,New Property,0,1,14
independent,8.0,22222,4,5,3+,1.0,North-East,house,sector 7,,3600.0,,0,1,1,1,0,,21,1,24
independent,0.9,80357,3,3,0,2.0,,house,sector 3,,112.0,,1,0,0,0,0,,0,1,0
independent,0.95,7308,5,3,0,1.0,,house,sector 24,,1300.0,,1,0,0,0,0,,0,1,0
Housing Board Colony,3.5,25926,6,6,3,3.0,,house,sector 28,,1350.0,,1,0,0,0,0,relatively new,0,1,37
independent,0.8,6666,8,8,2,1.0,,house,manesar,,1200.0,,1,0,0,0,0,relatively new,0,1,14
independent,6.0,33333,8,5,3+,3.0,,house,sector 26,,1800.0,,1,0,0,0,0,,9,2,45
shivpuri,2.8,12444,10,7,3,1.0,,house,sector 7,,2250.0,,0,1,1,1,1,,0,2,27
Ansal Heights,2.75,9793,4,4,3+,3.0,,house,sector 92,,2808.0,,0,1,0,1,0,relatively new,0,1,0
Ninex City,1.75,6250,4,4,0,14.0,,house,sector 76,,,2800.0,1,0,0,0,0,,0,1,0
independent,1.16,11717,5,4,2,1.0,North-East,house,sector 7,,,990.0,1,0,0,0,0,,0,1,0
My Home,0.34,12592,2,2,2,3.0,West,house,sector 2,,270.0,,1,0,0,0,0,old property,12,1,53
independent,5.0,15384,6,6,2,1.0,South,house,sector 2,,,3250.0,1,0,0,0,0,,0,1,0
independent,5.0,22222,3,3,3,1.0,South,house,sector 14,,2250.0,,1,0,0,0,0,old property,17,1,32
Unitech Uniworld Resorts,9.5,23333,5,7,3+,2.0,East,house,sector 33,,500.0,,0,1,1,1,0,relatively new,52,1,46
independent,7.25,29336,8,8,3+,0.0,North-East,house,sector 56,,303.0,,1,0,0,0,0,old property,15,2,50
DLF Gardencity Enclave,1.3,11284,3,2,1,3.0,,house,sector 93,,1152.0,,1,0,0,0,0,relatively new,0,1,44
Rajendra Park Gurgaon,0.37,10277,4,3,2,3.0,East,house,sector 9,,360.0,,1,0,0,0,0,relatively new,0,1,34
independent,1.15,8518,5,3,2,2.0,North-East,house,sector 7,,1350.0,,0,0,0,1,0,,11,1,24
independent,0.95,10555,3,2,2,3.0,South-East,house,sector 2,,900.0,,0,0,0,0,0,,13,1,53
independent,0.49,11250,6,3,2,3.0,East,house,sector 8,,360.0,,1,0,0,0,0,old property,5,1,23
house number B-34,0.8,8888,2,2,1,1.0,,house,sector 5,,900.0,,1,0,0,0,0,,0,1,0
independent,1.6,11852,5,5,2,3.0,,house,sector 21,,1350.0,,1,0,0,0,0,relatively new,0,1,0
independent,7.0,39265,5,5,2,3.0,North-East,house,sector 26,,1782.0,,0,0,1,0,0,relatively new,9,1,45
independent,0.5,6083,3,2,1,1.0,,house,sector 9,,822.0,750.0,1,0,0,0,0,,0,1,0
independent,0.45,8411,3,2,1,1.0,,house,sector 21,,,535.0,1,0,0,0,0,,0,1,0
independent,0.62,32291,6,6,0,3.0,,house,sector 13,,192.0,,1,0,0,0,0,,0,1,0
independent,1.0,41666,6,4,0,3.0,,house,sector 6,,240.0,,1,0,0,0,0,,0,1,0
independent,4.12,8889,2,1,3+,,,house,sector 3a,,4635.0,,1,0,0,0,0,old property,0,1,34
independent,0.45,90000,5,3,0,1.0,,house,sector 28,,50.0,,1,0,0,0,0,,0,1,0
ATS Tourmaline,1.87,8697,3,4,0,12.0,,house,sector 109,,2150.0,,1,0,0,0,0,,0,1,44
independent,0.85,8500,1,1,0,1.0,,house,sector 5,,1000.0,,1,0,0,0,0,,0,1,43
independent,0.42,9333,5,3,2,2.0,,house,sector 9,,450.0,,1,0,0,0,0,,0,1,24
independent,1.2,13333,7,4,1,2.0,South-West,house,sector 9,,900.0,,0,0,0,0,1,old property,7,1,34
independent,2.5,5472,3,2,1,,,house,sector 2,,4000.0,,1,0,0,0,0,,5,1,53
independent,0.75,57692,2,2,0,1.0,,house,sector 5,,130.0,,1,0,0,0,0,,0,1,0
independent,1.35,3857,5,3,3,3.0,East,house,sector 105,,3500.0,2500.0,1,0,0,0,0,,0,1,25
independent,4.7,21759,3,3,2,2.0,North,house,sector 57,,2160.0,,0,0,1,0,1,,28,1,32
independent,0.22,7407,2,2,2,1.0,,house,sector 9,,,297.0,1,0,0,0,0,,0,1,0
independent,0.5,10482,5,3,0,1.0,,house,sector 3a,,477.0,,1,0,0,0,0,,0,1,0
independent,1.25,8735,10,6,3+,3.0,,house,sector 9,,1431.0,,1,0,0,0,0,,0,1,24
independent,6.0,20000,4,4,1,2.0,,house,sector 2,,333.0,,1,0,0,0,0,relatively new,0,1,0
independent,0.08,2525,1,1,0,1.0,,house,sohna,,33.0,,1,0,0,0,0,relatively new,0,1,0
Project Housing Board Colony,2.58,17695,4,2,2,2.0,,house,sector 28,,,1300.0,1,0,0,0,0,,0,1,42
DLF The Arbour,8.5,21519,4,4,3+,27.0,,house,sector 63,,3950.0,,1,0,0,0,0,,0,1,26
independent,0.6,6173,8,3,2,3.0,,house,sector 21,,972.0,,1,0,0,0,0,,0,1,34
independent,1.1,55000,4,3,1,2.0,North-East,house,sector 9,,200.0,,1,0,0,0,0,,0,1,32
independent,3.5,20323,3,2,2,1.0,East,house,sector 38,,1722.08,,1,0,0,0,0,old property,0,1,46
Huda Plots,2.95,20359,2,2,2,1.0,North,house,sector 56,,1449.0,,1,0,0,0,0,old property,21,1,42
independent,0.7,5833,3,2,2,1.0,,house,sector 9,,1200.0,,1,0,0,0,0,,0,1,34
independent,1.16,11693,5,4,2,3.0,North-East,house,sector 7,,992.0,992.0,0,0,0,0,1,old property,24,1,24
independent,16.0,26667,6,5,2,3.0,East,house,sector 25,,6000.0,,1,0,0,0,0,relatively new,0,1,0
Suncity Essel Towers,8.95,17900,5,6,3+,4.0,,house,sector 43,,5000.0,,1,0,0,0,0,old property,0,1,45
independent,14.0,39886,9,9,3+,4.0,North,house,sector 43,,3510.0,,0,0,1,0,0,old property,3,1,42
"bhim nagar, sector 6",0.85,126865,5,2,2,1.0,,house,sector 6,,67.0,,0,0,0,1,0,,27,1,27
independent,1.35,40909,4,5,0,3.0,,house,sector 7,,330.0,,1,0,0,0,0,,0,1,0
independent,13.2,27155,6,6,0,2.0,,house,sector 50,,4861.0,,1,0,0,0,0,,0,1,0
Not Applicable,0.51,14167,4,4,3,4.0,,house,sector 3a,,360.0,,1,0,0,0,0,New Property,0,1,34
independent,1.1,11111,6,4,1,2.0,North,house,sector 3a,,990.0,,1,0,0,0,0,,0,1,0
independent,2.5,13157,5,5,3+,2.0,,house,sector 37d,,1900.0,,1,0,0,0,0,relatively new,0,1,21
independent,0.53,5888,2,2,0,1.0,,house,sector 7,,900.0,,1,0,0,0,0,,0,1,0
independent,2.0,11111,2,2,1,2.0,,house,sector 7,,1800.0,,1,0,0,0,0,relatively new,0,1,27
independent,0.37,8222,2,2,1,1.0,,house,sector 105,,450.0,,0,0,0,0,1,old property,0,1,25
independent,1.72,11111,6,3,1,2.0,,house,sector 12,,1548.0,171.0,0,0,0,0,1,,0,1,32
independent,1.35,3857,10,6,3+,3.0,,house,sector 11,,3500.0,,1,0,0,0,0,,0,1,0
independent,0.62,11273,3,1,0,2.0,,house,sector 8,,550.0,,1,0,0,0,0,,0,1,0
independent,8.0,8000,3,9,2,3.0,,house,sector 25,,,10000.0,1,0,0,0,0,New Property,0,1,0
independent,1.8,7627,4,5,0,13.0,,house,sector 92,,2360.0,,1,0,0,0,0,,0,1,0
independent,1.7,5666,4,4,3+,1.0,North-East,house,sector 108,,3000.0,2600.0,1,0,0,0,0,,0,1,0
independent,0.55,5000,2,1,0,1.0,,house,sector 5,,1100.0,,1,0,0,0,0,,0,1,0
independent,1.5,5000,6,1,0,1.0,,house,sector 5,,3000.0,,1,0,0,0,0,New Property,0,1,0
independent,1.55,6567,3,2,0,1.0,,house,sector 109,,2360.0,,1,0,0,0,0,,0,1,0
independent,0.32,22068,2,2,0,3.0,,house,sector 17,,145.0,,1,0,0,0,0,,0,1,0
independent,0.65,11111,4,2,2,,,house,sector 3a,,585.0,,1,0,0,0,0,old property,0,1,34
independent,1.6,28674,4,6,1,3.0,,house,sector 8,,558.0,,1,0,0,0,0,relatively new,0,1,46
independent,0.95,21111,2,1,1,3.0,,house,sector 7,,450.0,,1,0,0,0,0,New Property,8,1,24
Vatika Sovereign Next,3.85,7500,5,6,3+,6.0,,house,sector 82a,,5140.0,,1,0,0,0,0,,0,1,5
independent,0.66,10784,3,2,1,2.0,,house,sector 6,,612.0,,1,0,0,0,0,,14,1,27
independent,0.45,12162,4,4,2,4.0,North,house,sector 104,,370.0,1500.0,1,0,0,0,0,old property,3,2,34
independent,1.0,8796,3,2,2,1.0,North,house,sector 2,,120.0,1076.3,0,0,0,1,0,,0,1,53
independent,0.85,7522,3,3,0,1.0,,house,sector 3a,,1130.0,,1,0,0,0,0,,0,1,34
independent,0.45,5000,3,2,0,1.0,,house,sector 7,,,900.0,1,0,0,0,0,,0,1,29
Sector 14 RWA,6.5,26000,5,5,0,4.0,,house,sector 14,,2500.0,,1,0,0,0,0,old property,0,1,32
IFFCO Nagar and 17B RWA,3.5,24305,6,5,3,3.0,East,house,sector 17,,1440.0,,1,0,0,0,0,,34,1,45
independent,13.5,19286,9,9,0,1.0,East,house,sector 25,,7000.0,,1,0,0,0,0,relatively new,0,1,0
independent,5.7,22634,9,9,3+,3.0,North-East,house,sector 2,,270.0,,0,0,0,1,0,old property,0,2,61
Ansal Sushant Lok Plots,3.3,26570,1,1,0,,,house,sector 43,,1242.0,,1,0,0,0,0,,0,1,33
independent,1.75,11111,4,2,2,2.0,,house,sector 7,,1575.0,,0,0,0,0,1,,21,1,27
independent,1.1,6111,8,4,3+,2.0,West,house,sector 3a,,1800.0,,1,0,0,0,0,,3,1,34
independent,1.25,78125,2,3,0,1.0,,house,sector 3a,,160.0,,1,0,0,0,0,,0,1,34
independent,0.37,7916,1,1,1,1.0,,house,sector 3a,,480.0,,1,0,0,0,0,relatively new,0,1,34
DLF The Grove,5.7,211111,4,4,0,1.0,,house,sector 54,,270.0,,1,0,0,0,0,,0,1,42
independent,0.8,80000,13,6,3+,3.0,South,house,sector 104,,100.0,,0,1,1,1,1,old property,0,1,34
independent,2.1,35000,3,2,1,3.0,,house,sector 70a,,,600.0,1,0,0,0,0,New Property,0,1,26
independent,1.1,10000,5,4,2,1.0,East,house,sector 5,,1100.0,900.0,1,0,0,0,0,,0,1,0
independent,1.2,22297,4,4,3+,4.0,West,house,sohna road,,538.15,,1,0,0,0,0,,5,1,46
independent,4.5,125000,4,4,0,4.0,,house,sector 28,,360.0,,1,0,0,0,0,,0,1,0
independent,1.1,73333,2,2,1,,,house,sector 9,,150.0,,0,0,0,0,1,,0,1,36
independent,3.0,11111,4,4,0,1.0,,house,sector 17,,,2700.0,1,0,0,0,0,,0,1,0
Vipul Tatvam Villa,8.5,26235,4,6,3,3.0,North,house,sector 48,,3240.0,,0,0,1,1,1,,35,1,37
independent,0.75,20833,7,4,3+,4.0,,house,sector 28,,360.0,,1,0,0,0,0,old property,3,1,37
independent,0.82,10224,4,4,0,2.0,,house,sector 8,,,802.0,1,0,0,0,0,,0,1,29
independent,1.15,3285,3,2,1,1.0,,house,sector 9,,,3500.0,1,0,0,0,0,,0,1,0
Ansal API Esencia,1.85,74000,3,3,3,1.0,,house,sector 67,,,250.0,1,0,0,0,0,,0,1,10
Aindependentt Raj Estates,8.5,27139,6,6,3+,3.0,East,house,sector 63a,,3132.0,,0,0,0,1,0,Under Construction,21,1,51
independent,5.75,23662,4,4,2,4.0,North,house,sector 53,,2430.0,2367.86,0,0,1,0,0,,118,0,42
independent,4.65,17574,5,5,3+,1.0,,house,sector 54,,2646.0,,1,0,0,0,0,old property,0,2,42
independent,7.2,13333,4,4,3+,4.0,,house,sector 2,,520.0,,0,1,1,0,0,,7,0,32
independent,0.6,10753,3,3,1,2.0,,house,sector 9,,558.0,,1,0,0,0,0,relatively new,0,1,27
independent,4.5,9091,4,5,2,2.0,East,house,sector 13,,4950.0,,1,0,0,0,0,,0,1,32
independent,3.2,59259,14,14,3+,6.0,West,house,sector 24,,540.0,,1,0,0,0,0,relatively new,8,0,37
independent,0.6,105263,3,3,1,2.0,,house,sector 3a,,57.0,,0,0,0,0,1,,0,1,34
Hero Homes,1.95,21195,3,5,3+,2.0,,house,sector 104,,920.0,,1,0,0,0,0,old property,0,1,42
Ganpati Heights Apartment,1.25,151,10,6,2,3.0,South-East,house,sector 13,,115.0,,0,0,0,0,1,,6,1,32
International City by Sobha Phase 1,6.1,25103,5,6,3+,2.0,,house,sector 109,,2430.0,,0,0,1,0,0,old property,27,1,59
independent,0.5,13889,5,3,3,3.0,,house,sector 6,,360.0,,1,0,0,0,0,,0,1,27
independent,2.0,14954,3,1,0,3.0,North,house,manesar,,1337.0,,1,0,0,0,0,old property,12,1,14
Housing Board Colony,2.1,23333,8,8,3+,4.0,South-East,house,sector 28,,900.0,,0,0,0,0,1,old property,30,2,37
Unitech Espace,11.5,35494,5,6,0,1.0,North-West,house,sector 50,,3240.0,,1,0,0,0,0,,0,1,35
independent,0.9,11464,5,4,3,3.0,North-West,house,sector 13,,785.0,,0,1,1,1,1,old property,0,1,32
Not Applicable,0.75,11718,5,4,3,2.0,,house,sector 3a,,640.0,,1,0,0,0,0,old property,0,1,34
independent,1.3,11555,3,3,1,2.0,North,house,sector 9,,1125.0,,1,0,0,0,0,old property,15,1,34
independent,1.3,11556,3,3,1,1.0,East,house,sector 9,,1125.0,,1,0,0,0,0,,0,1,34
independent,0.6,10753,2,2,1,1.0,North-East,house,sector 9,,558.0,,1,0,0,0,0,old property,5,1,27
Sector 14 RWA,6.5,20635,4,4,3+,2.0,,house,sector 14,,3150.0,,1,0,0,0,0,old property,0,1,32
independent,2.1,17284,6,6,3+,3.0,,house,sector 24,,1215.0,,1,0,0,0,0,relatively new,10,1,14
independent,1.0,11111,3,4,2,2.0,,house,sector 5,,900.0,,1,0,0,0,0,relatively new,0,1,34
independent,1.1,12222,6,4,1,1.0,South-West,house,sector 9,,,900.0,1,0,0,0,0,,0,1,0
independent,0.35,9722,2,2,1,2.0,South-East,house,sector 9,,360.0,,1,0,0,0,0,,0,1,0
Laxmi Garden Sector-11,1.5,12820,12,9,1,3.0,East,house,sector 11,,1170.0,,0,1,1,1,1,relatively new,73,2,32
independent,10.0,229885,8,10,3+,1.0,West,house,sector 24,,,435.0,1,0,0,0,0,,0,1,0
Ansal Celebrity Homes,5.2,10000,4,5,2,1.0,,house,sector 2,,5200.0,4000.0,1,0,0,0,0,,0,1,61
independent,0.4,8889,1,1,0,1.0,,house,sector 3a,,450.0,,1,0,0,0,0,old property,0,1,34
Shri Shyam Residency,0.62,12400,3,3,1,2.0,,house,sector 104,,500.0,480.0,0,0,0,0,1,old property,6,0,49
independent,0.5,9259,5,3,2,3.0,West,house,sector 3a,,540.0,,1,0,0,0,0,,0,1,34
independent,0.92,15257,4,4,3,4.0,East,house,sector 3a,,603.0,,0,0,0,0,1,old property,0,1,34
Not Applicable,0.8,54794,5,4,3,3.0,,house,sector 3a,,146.0,,1,0,0,0,0,,0,1,34
independent,1.5,14245,2,3,2,1.0,North,house,sohna,,1053.0,,0,1,0,1,0,New Property,66,2,0
independent,2.25,6367,3,5,3+,10.0,South,house,sector 103,,3534.0,2000.0,1,0,0,0,0,,0,1,0
independent,13.5,37313,5,6,3+,4.0,North-East,house,sector 25,,3618.0,,0,0,0,0,1,,44,2,45
independent,0.5,90909,12,4,3,4.0,,house,sector 13,,55.0,,1,0,0,0,0,,8,1,32
mian wali,1.7,9444,1,1,1,1.0,,house,sector 12,,1800.0,,0,0,1,0,0,,4,1,32
independent,0.45,5000,3,2,1,2.0,North-West,house,sector 7,,900.0,,0,0,0,0,1,,4,1,29
independent,1.2,10122,6,2,1,2.0,North-West,house,sector 9,,1185.0,,1,0,0,0,0,,12,1,34
independent,1.5,8642,5,3,2,2.0,,house,sector 67,,,180.0,1,0,0,0,0,New Property,0,1,0
Palam Vihar Extension West Zone RWA,0.35,6481,2,2,0,1.0,North-East,house,sector 2,,600.0,540.0,1,0,0,0,0,New Property,0,1,61
Not Applicable,0.4,9259,1,1,1,1.0,,house,sector 3a,,432.0,,1,0,0,0,0,old property,0,1,34
