property_name,society,price,price_per_sq.ft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,area,type,sector
9 Bedroom House for sale in Palam Vihar,independent,5.7,22634,Plot area 270(225.75 sq.m.),9,9,3+,Pooja Room,"Palam Vihar, Gurgaon, Haryana",3.0,North-East,5 to 10 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']",House is located in the posh area of gurgaon. It is on the main road. It is beautifully designed. 3 bhk on each floor with attached washrooms.,"['9 Wardrobe', '10 Fan', '9 Geyser', '30 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",226.0,house,sector 2
1 Bedroom House for sale in Sushant Lok Phase 1,Ansal Sushant Lok Plots,3.3,26570,Plot area 138(115.39 sq.m.),1,1,0,Not available,"Sushant Lok Phase 1, Gurgaon, Haryana",,,By 2027,"['Iffco chowk metro station', 'Huda city centre metro station', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Icici bank ATM', 'Rbs ATM', 'Axis bank ATM', 'Punjab national bank ATM', 'Max Hospital', 'Dr. Kutbuddin Akbary', 'Sitaram Bhartia', 'Umkal Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Centre For Sight Gurgaon Sector 29', 'Sidhesh Hospital Gurgaon', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Naveidyam', 'Pizza Hut', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'The Chicken Boat', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Balaji Vegetarian Paradise', 'Dighent cafe', 'Fat', 'Nowhere Brewpub and cafe', 'Barbecue Grill', 'Roots', 'PWO house', 'MoB Ministory of Beer', 'Park Baluchi', 'Beer & Whisky Bar', 'Bikanervala', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Gravity Space Bar', 'Zura', 'Black Mambaa', ""McDonald's"", 'KFC', ""Domino's Pizza"", 'Bahrisons library', 'Ncr library']","Close proximity to gold souk , huda city centre , major hospitals",,,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",115.0,house,sector 43
4 Bedroom House for sale in Krishna Colony,independent,1.75,11111,Plot area 1575(146.32 sq.m.),4,2,2,Others,"Krishna Colony, Gurgaon, Haryana",2.0,,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Pearl Dental Clinic', 'Taneja Hospital', 'Dr. Ashok Jain', 'Dr. Madan Clinic', 'Geeta Nursing Home Gurgaon', 'Chiranjiv Hospital', 'Dev Man Kathuria Clinic', 'Aryan Hospital', 'Kr Dental Hub', 'Swastik Maternity and Medical Centre', 'Satyam Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'D.R. Rajnis Gupta Clinic', 'Esic Hospital Gurugram', 'Gurgaon Eye Centre', 'Bindal Clinic', 'Shiv Mahima Patient Care Bureau', 'Shree Krishna Hospital Gurgaon', 'M.S Hospital', 'My Care Clinic', 'Ankur Clinic and Maternity Home', 'Triveni Hospital Gurgaon', 'Shri Gobind Hospital', 'Navjeevan Hospital and Maternity Centre', 'Lal Superspeciality Hospital', 'Sparsh Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhatnagar Maternity and Nursing Home', 'Tirath Ram Hospitals Pvt Ltd', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Ajay S. Gupta Clinic', 'Kidney Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Kharbanda Maternity and Nursing Home', 'Gupta Hospital Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","Nothing unique, just a normal house for a family like us :)","['1 Wardrobe', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",146.0,house,sector 7
8 Bedroom House for sale in Laxman Vihar,independent,1.1,6111,Plot area 200(167.23 sq.m.),8,4,3+,Not available,"1331/31, Laxman Vihar, Gurgaon, Haryana",2.0,West,10+ Year Old,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Sneh Hospital Gurgaon', 'Dr. Hitesh Dawar', 'Kr Dental Hub', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Dr. Mittal Clinic', 'Jiya Clinic', 'Dr. Sindhu Clinic', 'Shree Krishna Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Gurgaon Eye Centre', 'R K Hospital Gurgaon', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Chirag Hospital Pvt. Ltd', 'Esic Hospital Gurugram', 'Aryan Hospital', 'Taneja Hospital', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'GH Gurgaon', 'Ravi Clinic and Health Care Centre', 'Bhatnagar Maternity and Nursing Home', 'Chiranjiv Hospital', 'Dr. Sarvejeet Singh', 'Dr. Madan Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Bindal Clinic', 'Kidney Clinic', 'Swastik Maternity and Medical Centre', 'Dev Man Kathuria Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","Location laxman vihar opposite sec-4 near rathi sariya gali no.2 phase 1, dhanwapur road. H.No. 1331/31, gurgaon.
1 and half floor built.
Ground floor 5 rooms, 2 kitchen.
First floor 3 rooms, 2 kitchen.
Running on rent.",,['Water Storage'],"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",167.0,house,sector 3a
2 Bedroom House for sale in Laxman Vihar,independent,1.25,78125,Built Up area: 160 (14.86 sq.m.),2,3,0,Not available,"Laxman Vihar, Sector 3a, Laxman Vihar, Gurgaon, Haryana",1.0,,undefined,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Sneh Hospital Gurgaon', 'Dr. Hitesh Dawar', 'Kr Dental Hub', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Shree Krishna Hospital Gurgaon', 'Dr. Sindhu Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Gurgaon Eye Centre', 'Dr. Ashok Jain', 'R K Hospital Gurgaon', 'Pearl Dental Clinic', 'Chirag Hospital Pvt. Ltd', 'Esic Hospital Gurugram', 'Aryan Hospital', 'Taneja Hospital', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'GH Gurgaon', 'Ravi Clinic and Health Care Centre', 'Bhatnagar Maternity and Nursing Home', 'Chiranjiv Hospital', 'Dr. Sarvejeet Singh', 'Dr. Madan Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Bindal Clinic', 'Kidney Clinic', 'Swastik Maternity and Medical Centre', 'Dev Man Kathuria Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",Best in class property available at laxman vihar location in gurgaon,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",15.0,house,sector 3a
1 Bedroom House for sale in Sector 3A Gurgaon,independent,0.37,7916,Built Up area: 480 (44.59 sq.m.),1,1,1,Not available,"Laxman Vihar, Sector 3a, Gurgaon, Sector 3A Gurgaon, Gurgaon, Haryana",1.0,,1 to 5 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Kr Dental Hub', 'Dr. Hitesh Dawar', 'Sneh Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Esic Hospital Gurugram', 'Dr. Ashok Jain', 'Dr. Sindhu Clinic', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', 'R K Hospital Gurgaon', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Taneja Hospital', 'Aryan Hospital', 'Chirag Hospital Pvt. Ltd', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Bhatnagar Maternity and Nursing Home', 'Dr. Agya Ram Sharma Clinic', 'Dev Man Kathuria Clinic', 'GH Gurgaon', 'Swastik Maternity and Medical Centre', 'Bindal Clinic', 'Dr. Sarvejeet Singh', 'M.S Hospital', 'My Care Clinic', 'Satyam Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","Looking for a good 1 bhk independent floor in sector 3 a, gurgaon? This property is in one of gurgaons most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 1. Maintenance charges of this property is rs 0. This independent floor is available for rs 38.0 l. This modern unit has a built-Up area of 480 square feet. The carpet area of this independent floor is 470 square feet. There are 1 bedroom and 1 bathroom. It is very close to some of citys best hospitals, such as, anu sidana, centre for sight eye hospital, and rs interior 24. Established schools, such as scr public school, focuss academy for defence exams : Nda coaching in gurgaon i cds i ctet i kvs i dsssb coaching, and lt atul katarya memorial school are also close-By laxman vihar, sector 3a, gurgaon",,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",45.0,house,sector 3a
4 Bedroom House for sale in Sector 54 Gurgaon,DLF The Grove,5.7,211111,Built Up area: 270 (25.08 sq.m.),4,4,0,Not available,"Sector 54, Sector 54 Gurgaon, Gurgaon, Haryana",1.0,,undefined,"['Sector 54 chowk metro station', 'Sector 53-54 metro station', 'Sector metro station', 'Sector metro station', 'Sanatan Dharm Mandir', 'Hanuman Mandir', 'New Life Church', 'Indusind bank ATM', 'Citi bank ATM', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Arunodaya Deseret Eye Hospital', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'Paras Hospital Gurgaon', 'pracksht hospital', 'HUDA Office Complex', 'Apollo Pharmacy', 'Medisca', 'HCG CNG Station', 'Heera Fuel Station', 'Hdfc bank', 'Icici bank', 'Hdfc bank & atm', 'Axis bank', 'Indusind bank', 'Kotak mahindra bank', 'State bank of india', 'Hdfc bank and atm', '222', 'Naivedyam Restaurant', 'Bikanerwala', 'Burger Singh', 'Wat-a-Burger', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Shophouse by Kylin', 'Cafe Tonini', 'Sagar Ratna', 'Pizza Hut', 'Suncity School', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'IILM']",A residential house is available for sale. It is a good location property. Please contact for more details. Dlf the grove sector 54,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",25.0,house,sector 54
13 Bedroom House for sale in Surat Nagar 1,independent,0.8,80000,Plot area 100(9.29 sq.m.),13,6,3+,"Pooja Room,Study Room,Servant Room,Others","Surat Nagar 1, Gurgaon, Haryana",3.0,South,5 to 10 Year Old,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Dr. Hitesh Dawar', 'Bhardwaj Hospital', 'Prateek Nursing Home And Polyclinic', 'Sneh Hospital Gurgaon', 'R K Hospital Gurgaon', 'Kr Dental Hub', 'Shree Krishna Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Sarvodya Hospital', 'Dr. Sindhu Clinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Dr. Ashok Jain', 'Esic Hospital Gurugram', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Taneja Hospital', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Geeta Nursing Home Gurgaon', 'Sparsh Hospital Gurgaon', 'GH Gurgaon', 'Ravi Clinic and Health Care Centre', 'Dr. Agya Ram Sharma Clinic', 'Bhatnagar Maternity and Nursing Home', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Dr. Sarvejeet Singh', 'Bindal Clinic', 'Dev Man Kathuria Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Swastik Maternity and Medical Centre', 'Kidney Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",This house gives 35000 -40000 per month on rent,,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety3.5 out of 5']",9.0,house,sector 104
3 Bedroom House for sale in Sector 70A Gurgaon,independent,2.1,35000,Carpet area: 600 (55.74 sq.m.),3,2,1,Not available,"Sector 70A Gurgaon, Gurgaon, Haryana",3.0,,0 to 1 Year Old,"['Sri Radhe Krishna Temple', 'Sai Dharamraj Hospital', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sona Devi Memorial Hospital and Trauma Centre', 'Gobind Hospital', 'Sanjeevani Hospital Gurgaon', 'Kamal Hospital and Maternity Centre', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Union bank of india', 'Central bank of india', 'State bank of india', 'Icici bank']","2 bath, semi-Furnished, 2 side open, at pandav nagar location new delhi","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",56.0,house,sector 70a
5 Bedroom House for sale in Ashok Vihar Phase 2,independent,1.1,10000,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,Not available,"Ashok Vihar Phase 2, Delhi Gurgaon Expressway, Ashok Vihar Phase 2, Gurgaon, Haryana",1.0,East,undefined,,"Two side open house near by all facilities ashok vihar phase 2, delhi gurgaon expressway",,,"['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5', 'Safety4 out of 5']",102.0,house,sector 5
4 Bedroom House for sale in Sohna Road,independent,1.2,22297,Plot area 50,4,4,3+,Not available,"Sohna Road, Gurgaon, Haryana",4.0,West,10+ Year Old,"['Rajiv Chowk Mosque', 'Standard chartered ATM', 'Icici bank ATM', 'Samvit Health Care', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Sukhmani Hospital Pvt. Ltd', 'Airforce Hospital', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Bansal Medicare and Maternity Centre', 'Meher Clinic', 'Pushpanjali Hospital Gurgaon', 'Dispencery', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Pushpanjali Hospital', 'Bones Clinic - Orthopaedics', 'Smile Plus Dental Clinic', 'Vaishnavi Nursing Home', 'Skin Clinic', 'Rajendra Hospital', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'SRS Cinemas', 'SRS Cinemas', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'KFC', 'Haldiram', ""Domino's Pizza"", 'Darbar', ""Nirula's"", 'Kendriya Vidyalaya No.2 Sohna Road', 'Delhi Public School Primary Section', 'CR Model Public School', 'Manav Rachna School', 'Manav Rachna Swimming Pool']","We have a house/villa available for sale in sohna road, gurgaon. Available at price of rs 1.1 crores. It has plot area of 50 sq m. It has 1 bhk, 4 bathroom, 4 balcony.It is a freehold property","['6 Wardrobe', '9 Fan', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Park'],,50.0,house,sohna road
4 Bedroom House for sale in DLF Phase 4,independent,4.5,125000,Built Up area: 360 (33.45 sq.m.),4,4,0,Not available,"Dlf City Phase 4, Sector 28, DLF Phase 4, Gurgaon, Haryana",4.0,,undefined,,Best in class property available at dlf city phase 4 location in gurgaon,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",33.0,house,sector 28
2 Bedroom House for sale in Bhawani Enclave,independent,1.1,73333,Plot area 150(13.94 sq.m.),2,2,1,Others,"Bhawani Enclave, Gurgaon, Haryana",,,10+ Year Old,"['State bank ATM', 'Shri Multispeciality Hospital', 'Esic Hospital Gurugram', 'Kamla Hospital Gurgaon', 'Shree Krishna Hospital Gurgaon', 'Ankur Clinic and Maternity Home', 'Navjeevan Hospital and Maternity Centre', 'Yadav Hospital Gurgoan', 'Taneja Hospital', 'Mangalam Hospital and Heart Centre Gurgaon', 'Dr. Ashok Jain', 'Shiv Mahima Patient Care Bureau', 'Pearl Dental Clinic', 'Kr Dental Hub', 'Dr. Madan Clinic', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Dev Man Kathuria Clinic', 'Bhanu Dental Care', 'Prateek Nursing Home And Polyclinic', 'Satyam Hospital Gurgaon', 'Gautam Hospital', 'Harshila Dental Clinic', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'Nutan Dental Hospital', 'Sai Dental Clinic', 'Shri Balaji Hospital and Trauma Center', 'Clove Dental', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Rachna Dental Clinic', 'Shri Ram Dental Clinic', 'Parmar Dental Clinic & Lab', 'Sunrise Hospital Gurgaon', 'Dental Xpert Dental Clinic', 'The Muskan Dental Clinic', 'Geeta Nursing Home Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Sethi Hospital Gurgaon', 'Kathuria Hospital', 'Shubham Hospital Gurgaon', 'Parashar Hospital', 'Boxer Fuel Point', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station']","2 side open, 1 drawing room, 1 shop, 1 small room at mumty, 2 bedroom, 1 kitchen, 1 store room on roof, 2 bathroom, 2 toilet","['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,14.0,house,sector 9
4 Bedroom House for sale in Garhi Harsaru,independent,3.0,11111,Carpet area: 2700 (250.84 sq.m.),4,4,0,Not available,"Garhi Harsaru, Gurgaon, Garhi Harsaru, Gurgaon, Haryana",1.0,,undefined,,"This 4 bhk, 2700 sqft, ready to move villa is located in individual villa, garhi harsaru. Possession is immediate. It is a well designed property with 4 bathrooms and 0 balconies. The villa is available for inr 30000000/-, negotiable. Reserved parking is available for residents. , garhi harsaru, gurgaon",,,"['Environment4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5', 'Safety3 out of 5']",251.0,house,sector 17
4 Bedroom House for sale in Sector 48 Gurgaon,Vipul Tatvam Villa,8.5,26235,Plot area 360(301.01 sq.m.),4,6,3,"Pooja Room,Servant Room,Others","Sector 48 Gurgaon, Gurgaon, Haryana",3.0,North,10+ Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","This 4 bhk house for sale in sector 48 gurgaon, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. Another plus point for the house is that it is situated near close to mall, close to school, close to hospital and close to market. The floor plan additionally contains 4 bedrooms, 6 bathrooms and 3 balconies. All in all, the independent house is spread over a super built up area of 360 sq.Yards. The houses comes with dedicated 3 open parking space(s) where you can easily park your vehicle(s). Another added advantage of this 10+ years old house is that it is available for immediate possession. The type of ownership of this property is freehold. By paying just  8.5 crore, you can become the proud owner of this independent house. All the modern amenities such as maintenance staff, visitor parking and park will make life easier for you. Borewell/tank and municipal corporation provides a regular supply of water to this residential house. The residential house is north-Facing. The floor of this independent house is beautifully designed using granite flooring, giving it an alluring look.",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",301.0,house,sector 48
7 Bedroom House for sale in Saraswati Vihar,independent,0.75,20833,Plot area 40(33.45 sq.m.),7,4,3+,Not available,"Saraswati Vihar, Gurgaon, Haryana",4.0,,5 to 10 Year Old,"['Mg road metro station', 'Iffco chowk metro station', 'Arya Samaj Mandir', 'Jain Bhawan', 'Axis bank ATM', 'Punjab national bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Icici bank ATM', 'Sidhesh Hospital Gurgaon', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Privat Hospital', 'Umkal Hospital', 'Sitaram Bhartia', 'Surgi Center Clinic', 'Divine Look Clinic Centre 1', 'Religare Wellness', '98.4', 'Guardian', 'DT Cinemas', 'PVR Metropolitan', 'PVR Cinames', 'PVR Cinames', 'DT Cinemas', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'Kotak mahindra bank', 'Hsbc bank', 'Axis bank', 'Axis bank', 'NutrioBox Gurugram', 'Barbecue Grill', 'Pan Bangkok', 'Dighent cafe', 'Fat', 'Nowhere Brewpub and cafe', 'Belgian Waffle', 'Drunken Monkey', 'Blue Tokai Coffee Roasters', 'CCD', 'Starbucks', 'Pizza Hut', 'Food Court', 'American Montessori', 'Bahrisons library']",This property is located in saraswati vihar near maruti vihar. It has great rental value.There are 4.5 floors and all are rented.,"['6 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",33.0,house,sector 28
